county,max_temp,anomaly,rank,mean,month,state,total_workers_h2a
Adams,87.7,-0.7,49,88.4,July,Colorado,648
Alamosa,87.4,7.3,130,80.1,July,Colorado,38
Arapahoe,86.9,-0.4,54,87.3,July,Colorado,28
Baca,90.4,-1,46,91.4,July,Colorado,8
Bent,91.3,-0.7,49,92,July,Colorado,13
Boulder,80.2,0.7,76,79.5,July,Colorado,188
Cheyenne,88.7,-0.4,50,89.1,July,Colorado,23
Conejos,81.2,7,129,74.2,July,Colorado,9
Costilla,84.3,8,130,76.3,July,Colorado,13
Delta,88.8,6.5,128,82.3,July,Colorado,223
Denver,87.2,-0.7,47,87.9,July,Colorado,42
Douglas,82.6,0.5,71,82.1,July,Colorado,36
Eagle,78.3,4.1,122,74.2,July,Colorado,13
El Paso,85.8,2.7,102,83.1,July,Colorado,156
Garfield,82.6,4.5,124,78.1,July,Colorado,49
Grand,75.1,2.6,114,72.5,July,Colorado,28
Gunnison,78.6,5.8,127,72.8,July,Colorado,6
Jackson,74.7,1.7,91,73,July,Colorado,53
Jefferson,81.4,0.6,75,80.8,July,Colorado,22
Kit Carson,87.9,-0.4,52,88.3,July,Colorado,39
La Plata,87.1,8.1,130,79,July,Colorado,7
Larimer,78.2,1.2,79,77,July,Colorado,45
Las Animas,89.9,3.1,116,86.8,July,Colorado,1
Lincoln,88.6,0.6,70,88,July,Colorado,3
Logan,86.9,-2,32,88.9,July,Colorado,22
Mesa,89.6,6.4,129,83.2,July,Colorado,608
Moffat,86.1,3.6,117,82.5,July,Colorado,117
Montezuma,91.1,6.3,129,84.8,July,Colorado,6
Montrose,90.2,6.5,129,83.7,July,Colorado,233
Morgan,87.6,-0.9,47,88.5,July,Colorado,16
Otero,92,0.6,70,91.4,July,Colorado,121
Ouray,83.4,8.6,129,74.8,July,Colorado,6
Phillips,87.3,-2.1,32,89.4,July,Colorado,8
Pitkin,75.7,5,126,70.7,July,Colorado,5
Prowers,90,-2,30,92,July,Colorado,11
Pueblo,92.3,3,114,89.3,July,Colorado,256
Rio Blanco,85,3.9,122,81.1,July,Colorado,59
Rio Grande,81.4,7.4,130,74,July,Colorado,14
Routt,78.4,2.8,111,75.6,July,Colorado,97
Saguache,81.3,7,130,74.3,July,Colorado,33
San Miguel,86.3,6.8,129,79.5,July,Colorado,3
Sedgwick,86.2,-3,24,89.2,July,Colorado,6
Summit,72.6,3.9,123,68.7,July,Colorado,2
Washington,86.3,-2.2,31,88.5,July,Colorado,11
Weld,86.2,-1.6,32,87.8,July,Colorado,288
Yuma,87.8,-1.5,40,89.3,July,Colorado,68
Garfield,87,2,85,85,July,Colorado,49
Jefferson,79.5,3.4,100,76.1,July,Colorado,22
Lincoln,81.4,4.9,117,76.5,July,Colorado,3
Phillips,86.2,2.1,86,84.1,July,Colorado,8
Adams,82.6,-1.4,44,84,July,Colorado,648
Logan,78.8,-4,18,82.8,July,Colorado,22
Douglas,84.7,-3.7,20,88.4,July,Colorado,36
Jackson,87.3,-1.9,38,89.2,July,Colorado,53
Lincoln,82.1,-3.9,17,86,July,Colorado,3
Garfield,90.5,6.9,129,83.6,July,Colorado,49
Grand,95.7,6.2,129,89.5,July,Colorado,28
Morgan,83.1,4,116,79.1,July,Colorado,16
Summit,76.6,3.3,115,73.3,July,Colorado,2
Washington,96.4,5.8,128,90.6,July,Colorado,11
Lincoln,81.2,4.2,118,77,July,Colorado,3
Adams,87.9,1.7,88,86.2,August,Colorado,648
Alamosa,82.9,5.3,128,77.6,August,Colorado,38
Arapahoe,87.2,2,98,85.2,August,Colorado,28
Baca,91,1.8,94,89.2,August,Colorado,8
Bent,91.3,1.5,79,89.8,August,Colorado,13
Boulder,77.8,0.1,60,77.7,August,Colorado,188
Cheyenne,89.1,2,91,87.1,August,Colorado,23
Conejos,76.3,4.4,126,71.9,August,Colorado,9
Costilla,78.7,4.7,126,74,August,Colorado,13
Delta,83.9,4.3,124,79.6,August,Colorado,223
Denver,87.2,1.3,80,85.9,August,Colorado,42
Douglas,81.2,1.1,80,80.1,August,Colorado,36
Eagle,74.8,2.6,114,72.2,August,Colorado,13
El Paso,84.5,3.7,119,80.8,August,Colorado,156
Garfield,78.4,2.8,112,75.6,August,Colorado,49
Grand,72.4,1.7,97,70.7,August,Colorado,28
Gunnison,74.4,4,127,70.4,August,Colorado,6
Jackson,73.3,2.3,104,71,August,Colorado,53
Jefferson,79.5,0.6,73,78.9,August,Colorado,22
Kit Carson,88.8,2.5,100,86.3,August,Colorado,39
La Plata,80.6,3.9,124,76.7,August,Colorado,7
Larimer,76.4,1.2,82,75.2,August,Colorado,45
Las Animas,87.4,2.7,109,84.7,August,Colorado,1
Lincoln,89.1,3.1,110,86,August,Colorado,3
Logan,88.4,1.6,86,86.8,August,Colorado,22
Mesa,84.2,3.8,119,80.4,August,Colorado,608
Moffat,82.6,2.3,105,80.3,August,Colorado,117
Montezuma,85,2.8,116,82.2,August,Colorado,6
Montrose,84.5,3.5,119,81,August,Colorado,233
Morgan,88.4,2,90,86.4,August,Colorado,16
Otero,90.8,1.6,85,89.2,August,Colorado,121
Ouray,78.1,5.6,127,72.5,August,Colorado,6
Phillips,89.3,2.1,95,87.2,August,Colorado,8
Pitkin,72.2,3.9,124,68.3,August,Colorado,5
Prowers,91.7,1.9,88,89.8,August,Colorado,11
Pueblo,89.7,3,116,86.7,August,Colorado,256
Rio Blanco,81,2.3,105,78.7,August,Colorado,59
Rio Grande,76.4,4.7,127,71.7,August,Colorado,14
Routt,76.2,2.6,105,73.6,August,Colorado,97
Saguache,76.5,4.5,128,72,August,Colorado,33
San Miguel,80.5,3.4,119,77.1,August,Colorado,3
Sedgwick,87.9,0.9,77,87,August,Colorado,6
Summit,69,2.2,111,66.8,August,Colorado,2
Washington,88,1.4,78,86.6,August,Colorado,11
Weld,86.4,0.7,69,85.7,August,Colorado,288
Yuma,89.6,2.3,98,87.3,August,Colorado,68
Garfield,87.1,3.6,107,83.5,August,Colorado,49
Jefferson,76.7,2.2,88,74.5,August,Colorado,22
Lincoln,78.9,3.8,105,75.1,August,Colorado,3
Phillips,86,3.3,102,82.7,August,Colorado,8
Adams,82.6,-0.3,62,82.9,August,Colorado,648
Logan,78.4,-2.9,33,81.3,August,Colorado,22
Douglas,86.7,0.9,86,85.8,August,Colorado,36
Jackson,87.5,0.2,66,87.3,August,Colorado,53
Lincoln,84.3,0.9,83,83.4,August,Colorado,3
Garfield,82.2,1.4,91,80.8,August,Colorado,49
Grand,89.5,3.2,116,86.3,August,Colorado,28
Morgan,77.9,0.6,67,77.3,August,Colorado,16
Summit,71.4,-0.1,58,71.5,August,Colorado,2
Washington,87.1,-1.2,32,88.3,August,Colorado,11
Lincoln,74.8,-0.2,54,75,August,Colorado,3
Custer,80.2,4.9,128,75.3,July,Montana,54
Fremont,84.9,4.3,126,80.6,July,Montana,4
Garfield,82.6,4.5,124,78.1,July,Montana,8
Jefferson,81.4,0.6,75,80.8,July,Montana,15
Lake,72.8,5.4,126,67.4,July,Montana,27
Lincoln,88.6,0.6,70,88,July,Montana,1
Park,76.5,4.2,126,72.3,July,Montana,13
Phillips,87.3,-2.1,32,89.4,July,Montana,20
Beaverhead,77.2,3.5,106,73.7,July,Montana,185
Big Horn,84,-0.1,52,84.1,July,Montana,49
Blaine,84.8,2.8,96,82,July,Montana,61
Broadwater,81.4,2.1,88,79.3,July,Montana,27
Carbon,79.3,0.9,68,78.4,July,Montana,1
Carter,85.7,0.9,74,84.8,July,Montana,29
Cascade,83.2,2.9,101,80.3,July,Montana,4
Chouteau,86.7,3.2,102,83.5,July,Montana,15
Custer,87.4,0.4,57,87,July,Montana,54
Daniels,82.2,1.2,77,81,July,Montana,55
Dawson,85.1,0.3,68,84.8,July,Montana,22
Deer Lodge,75.4,2.6,93,72.8,July,Montana,4
Fallon,84.6,-0.2,58,84.8,July,Montana,8
Fergus,83.6,1.8,79,81.8,July,Montana,10
Flathead,79.7,5.2,120,74.5,July,Montana,73
Gallatin,79,2.5,96,76.5,July,Montana,72
Garfield,87,2,85,85,July,Montana,8
Glacier,78.7,5.3,121,73.4,July,Montana,16
Golden Valley,82.9,0.1,56,82.8,July,Montana,17
Granite,77.7,3.7,111,74,July,Montana,3
Hill,85.8,3.4,105,82.4,July,Montana,65
Jefferson,79.5,3.4,100,76.1,July,Montana,15
Judith Basin,79.4,1.7,80,77.7,July,Montana,6
Lake,84.4,5.1,119,79.3,July,Montana,27
Lewis and Clark,79.5,3.3,105,76.2,July,Montana,21
Liberty,85,3.6,109,81.4,July,Montana,35
Lincoln,81.4,4.9,117,76.5,July,Montana,1
McCone,85.4,0.4,63,85,July,Montana,25
Madison,78.2,2.6,94,75.6,July,Montana,53
Meagher,77.5,2.6,91,74.9,July,Montana,6
Missoula,81.7,4.3,112,77.4,July,Montana,17
Park,77.7,2.7,96,75,July,Montana,13
Phillips,86.2,2.1,86,84.1,July,Montana,20
Pondera,81.9,3.1,106,78.8,July,Montana,17
Powder River,87.1,0.9,67,86.2,July,Montana,3
Powell,78.7,3.5,110,75.2,July,Montana,13
Prairie,86,0.2,61,85.8,July,Montana,18
Ravalli,79.7,4.1,115,75.6,July,Montana,46
Richland,84.8,0.5,69,84.3,July,Montana,106
Roosevelt,84,0.7,69,83.3,July,Montana,48
Rosebud,87,0.8,67,86.2,July,Montana,17
Sanders,83.2,4.5,117,78.7,July,Montana,13
Sheridan,82.8,1.1,78,81.7,July,Montana,63
Stillwater,80.6,-0.2,52,80.8,July,Montana,28
Sweet Grass,79.4,1.1,71,78.3,July,Montana,22
Teton,80.8,2.6,96,78.2,July,Montana,26
Toole,84.1,3.3,110,80.8,July,Montana,14
Treasure,86.7,0.2,59,86.5,July,Montana,9
Valley,84.6,1.7,86,82.9,July,Montana,54
Wheatland,80.3,0.7,62,79.6,July,Montana,12
Wibaux,84.1,-0.4,52,84.5,July,Montana,13
Yellowstone,86.2,0.5,57,85.7,July,Montana,69
Golden Valley,83.6,-0.5,53,84.1,July,Montana,17
Richland,81.4,-1.8,42,83.2,July,Montana,106
Sheridan,78,-3.7,18,81.7,July,Montana,63
Custer,82.3,-1.8,36,84.1,July,Montana,54
Lake,81.4,-3.5,23,84.9,July,Montana,27
Lincoln,82.1,-3.9,17,86,July,Montana,1
Carbon,86.3,4.5,124,81.8,July,Montana,1
Garfield,90.5,6.9,129,83.6,July,Montana,8
Big Horn,82.3,0.9,64,81.4,July,Montana,49
Carbon,82,2.3,97,79.7,July,Montana,1
Fremont,80.4,0.8,66,79.6,July,Montana,4
Lincoln,81.2,4.2,118,77,July,Montana,1
Park,76,1.3,79,74.7,July,Montana,13
Sheridan,80.2,-0.5,54,80.7,July,Montana,63
Teton,74.4,2.4,99,72,July,Montana,26
Custer,76,3,114,73,August,Montana,54
Fremont,80.9,2.6,110,78.3,August,Montana,4
Garfield,78.4,2.8,112,75.6,August,Montana,8
Jefferson,79.5,0.6,73,78.9,August,Montana,15
Lake,68.6,3.6,125,65,August,Montana,27
Lincoln,89.1,3.1,110,86,August,Montana,1
Park,72.6,2.5,115,70.1,August,Montana,13
Phillips,89.3,2.1,95,87.2,August,Montana,20
Beaverhead,72,0,59,72,August,Montana,185
Big Horn,83.5,0.8,76,82.7,August,Montana,49
Blaine,83.9,3.3,102,80.6,August,Montana,61
Broadwater,78.9,0.9,75,78,August,Montana,27
Carbon,78.6,1.7,87,76.9,August,Montana,1
Carter,85.1,1.6,83,83.5,August,Montana,29
Cascade,81.4,2.3,85,79.1,August,Montana,4
Chouteau,85.2,3.1,99,82.1,August,Montana,15
Custer,86.9,1.6,83,85.3,August,Montana,54
Daniels,82.7,2.8,102,79.9,August,Montana,55
Dawson,85.5,2,92,83.5,August,Montana,22
Deer Lodge,72.3,1.3,76,71,August,Montana,4
Fallon,83.9,0.3,68,83.6,August,Montana,8
Fergus,82.6,1.8,86,80.8,August,Montana,10
Flathead,76.8,4.1,104,72.7,August,Montana,73
Gallatin,74.9,-0.3,56,75.2,August,Montana,72
Garfield,87.1,3.6,107,83.5,August,Montana,8
Glacier,77.1,4.9,110,72.2,August,Montana,16
Golden Valley,82.1,0.3,67,81.8,August,Montana,17
Granite,74.1,1.8,85,72.3,August,Montana,3
Hill,84.2,3.4,104,80.8,August,Montana,65
Jefferson,76.7,2.2,88,74.5,August,Montana,15
Judith Basin,77.9,1,74,76.9,August,Montana,6
Lake,80.6,2.9,95,77.7,August,Montana,27
Lewis and Clark,76.7,1.8,83,74.9,August,Montana,21
Liberty,82.5,2.5,93,80,August,Montana,35
Lincoln,78.9,3.8,105,75.1,August,Montana,1
McCone,86.6,3,100,83.6,August,Montana,25
Madison,73.3,-0.6,49,73.9,August,Montana,53
Meagher,75.6,1.6,80,74,August,Montana,6
Missoula,77.5,1.7,82,75.8,August,Montana,17
Park,74.1,0.4,67,73.7,August,Montana,13
Phillips,86,3.3,102,82.7,August,Montana,20
Pondera,80.2,2.7,93,77.5,August,Montana,17
Powder River,87.1,2.2,89,84.9,August,Montana,3
Powell,75.4,1.6,82,73.8,August,Montana,13
Prairie,86,1.7,86,84.3,August,Montana,18
Ravalli,75.5,1.7,83,73.8,August,Montana,46
Richland,85.2,2.1,94,83.1,August,Montana,106
Roosevelt,84.9,2.8,99,82.1,August,Montana,48
Rosebud,86.4,1.8,86,84.6,August,Montana,17
Sanders,80.3,2.8,97,77.5,August,Montana,13
Sheridan,83.5,3.1,102,80.4,August,Montana,63
Stillwater,79.6,0.1,68,79.5,August,Montana,28
Sweet Grass,77.4,0.1,61,77.3,August,Montana,22
Teton,79,2.1,87,76.9,August,Montana,26
Toole,81.8,2.3,89,79.5,August,Montana,14
Treasure,86.5,1.4,83,85.1,August,Montana,9
Valley,85,3.5,103,81.5,August,Montana,54
Wheatland,78.9,0.1,64,78.8,August,Montana,12
Wibaux,83.3,-0.1,63,83.4,August,Montana,13
Yellowstone,85.6,1.5,84,84.1,August,Montana,69
Golden Valley,83,0,67,83,August,Montana,17
Richland,81.6,0.1,72,81.5,August,Montana,106
Sheridan,78.2,-1.9,43,80.1,August,Montana,63
Custer,82.8,0.1,65,82.7,August,Montana,54
Lake,83.7,1.2,97,82.5,August,Montana,27
Lincoln,84.3,0.9,83,83.4,August,Montana,1
Carbon,79.7,0.7,72,79,August,Montana,1
Garfield,82.2,1.4,91,80.8,August,Montana,8
Big Horn,80.7,1.6,85,79.1,August,Montana,49
Carbon,78.6,1.2,88,77.4,August,Montana,1
Fremont,76.9,-0.6,47,77.5,August,Montana,4
Lincoln,74.8,-0.2,54,75,August,Montana,1
Park,73.1,0.4,67,72.7,August,Montana,13
Sheridan,79.6,0.2,65,79.4,August,Montana,63
Teton,68.4,-1.6,32,70,August,Montana,26
Adams,87.7,-0.7,49,88.4,July,North Dakota,31
Logan,86.9,-2,32,88.9,July,North Dakota,43
Richland,84.8,0.5,69,84.3,July,North Dakota,89
Sheridan,82.8,1.1,78,81.7,July,North Dakota,23
Adams,82.6,-1.4,44,84,July,North Dakota,31
Barnes,79.7,-2.5,31,82.2,July,North Dakota,41
Benson,78,-3.5,20,81.5,July,North Dakota,48
Billings,83,-0.6,50,83.6,July,North Dakota,2
Bottineau,79.5,-1.4,45,80.9,July,North Dakota,84
Bowman,84,-0.1,59,84.1,July,North Dakota,22
Burke,79.7,-0.5,57,80.2,July,North Dakota,16
Burleigh,79,-3.7,18,82.7,July,North Dakota,83
Cass,81.2,-1.6,40,82.8,July,North Dakota,73
Cavalier,77.4,-1.4,43,78.8,July,North Dakota,133
Dickey,79.6,-3.5,19,83.1,July,North Dakota,97
Divide,81.3,0.7,73,80.6,July,North Dakota,34
Dunn,82.7,-0.3,56,83,July,North Dakota,41
Eddy,77.7,-4,15,81.7,July,North Dakota,27
Emmons,80.2,-4,17,84.2,July,North Dakota,73
Foster,77.9,-4.1,15,82,July,North Dakota,79
Grand Forks,79.6,-2.3,34,81.9,July,North Dakota,170
Grant,81.6,-3,30,84.6,July,North Dakota,15
Griggs,77.7,-4.2,12,81.9,July,North Dakota,10
Hettinger,81.6,-2.1,38,83.7,July,North Dakota,30
Kidder,78.2,-3.9,18,82.1,July,North Dakota,64
LaMoure,79.8,-3.1,26,82.9,July,North Dakota,57
Logan,78.8,-4,18,82.8,July,North Dakota,43
McHenry,80.5,-1.6,46,82.1,July,North Dakota,76
McIntosh,78.6,-4.4,16,83,July,North Dakota,60
McKenzie,83,-0.3,55,83.3,July,North Dakota,25
McLean,80.5,-1.6,38,82.1,July,North Dakota,187
Mercer,81.3,-1.8,38,83.1,July,North Dakota,46
Morton,80.8,-2.9,29,83.7,July,North Dakota,119
Mountrail,80.8,-0.5,53,81.3,July,North Dakota,105
Nelson,77.8,-3,24,80.8,July,North Dakota,80
Oliver,80.2,-2.7,31,82.9,July,North Dakota,16
Pembina,79,-1.2,46,80.2,July,North Dakota,203
Pierce,79.2,-2.1,37,81.3,July,North Dakota,17
Ramsey,77.7,-3.2,25,80.9,July,North Dakota,139
Ransom,81.2,-1.7,39,82.9,July,North Dakota,24
Renville,80.2,-1.3,50,81.5,July,North Dakota,44
Richland,81.4,-1.8,42,83.2,July,North Dakota,89
Rolette,78.2,-0.8,54,79,July,North Dakota,28
Sargent,80.9,-2.4,32,83.3,July,North Dakota,116
Sheridan,78,-3.7,18,81.7,July,North Dakota,23
Sioux,81.8,-3.2,24,85,July,North Dakota,6
Slope,83.2,-0.9,47,84.1,July,North Dakota,23
Stark,81.6,-1.8,38,83.4,July,North Dakota,46
Steele,77.7,-4.5,9,82.2,July,North Dakota,62
Stutsman,78.7,-3.5,22,82.2,July,North Dakota,74
Towner,78.7,-1,48,79.7,July,North Dakota,35
Traill,79,-3.7,18,82.7,July,North Dakota,71
Walsh,79,-1.3,43,80.3,July,North Dakota,257
Ward,80,-1.7,40,81.7,July,North Dakota,178
Wells,77.1,-4.6,13,81.7,July,North Dakota,113
Williams,82.3,0.4,63,81.9,July,North Dakota,110
Bon Homme,84.4,-3.7,21,88.1,July,North Dakota,5
Grant,82,-1,56,83,July,North Dakota,15
Marshall,80.2,-2,39,82.2,July,North Dakota,2
